,AnimalID,Species,Study Area,Sex,Pack,beaver,bird,canid,coyote,deerunkspp,dog,dumpsite,elk,grouse,hare,livestock,magpie,marmot,moose,muledeer,porcupine,raccoon,skunk,small mammal,Stellar's jay,turkey,unknown,unknown avian species - quail?,unknown small mammal,whitetaileddeer
1,MVC202F,Cougar,Okanogan,Female,,,1,,,4,,,,1,1,,,,,14,,1,,,,,,,,7
2,MVC204F,Cougar,Okanogan,Female,,,,,,,,,,,,,,,,1,,,,,,,,,,
3,MVC205F,Cougar,Okanogan,Female,,,1,,,1,,,,,,,,,,17,,,,,,,,,,
4,MVC206F,Cougar,Okanogan,Female,,,,,2,1,,,,,,,,,,5,,,,,,,,,,1
5,MVC207F,Cougar,Okanogan,Female,,,,,,2,,,,,,,,,,8,1,,,,,,,,,
8,MVC222F,Cougar,Okanogan,Female,,,,,,3,,,,,,,,,,,,,,,,,,,,1
9,MVC223F,Cougar,Okanogan,Female,,,,,,1,,,,,,,,,,3,,,,,,,,,,
11,MVC225F,Cougar,Okanogan,Female,,,,,,,,,,,,,,,,3,,,,,,,,,,
12,MVC226F,Cougar,Okanogan,Female,,,,,,,,,,,,,,,,,,,,,,,1,,,2
13,MVC227F,Cougar,Okanogan,Female,,,,,,,,,,,,,,,,3,,,,,,,,,,
15,MVC230F,Cougar,Okanogan,Female,,,,,,3,,,,,,1,,,,2,,,,,,,,,,1
16,MVC233F,Cougar,Okanogan,Female,,,,,1,,,,,,,,,,,1,,,,,,,,,,2
19,MVC236F,Cougar,Okanogan,Female,,,,,,1,,,,,,,,,,4,,,,,,,,,,
22,NEC103F,Cougar,Northeast,Female,,,,,,8,,,,,,,,,,,,,,,,,,,,5
23,NEC104F,Cougar,Northeast,Female,,,,,,8,,,,,,,,,,1,,,,,,,,,,3
25,NEC107F,Cougar,Northeast,Female,,,,,,4,,,,,,,,,,2,,,,,,,,,,9
26,NEC110F,Cougar,Northeast,Female,,,,,,3,,,,,,,,,2,,,,,,,,,,,1
27,NEC111F,Cougar,Northeast,Female,,,,,,,,,,,,,,,,1,,,,,,,,,,1
28,NEC112F,Cougar,Northeast,Female,,,,,,2,,,,,,,,,1,,,,,,,,,,,10
29,NEC113F,Cougar,Northeast,Female,,,,,,,,,,,,,,,1,,,,,,,,,,,1
30,NEC115F,Cougar,Northeast,Female,,,,,,1,,,,,,,,,,,,,,,,,,,,1
31,NEC116F,Cougar,Northeast,Female,,,,,,1,,,1,,,,,,,,,,,,,,,,,
32,NEC117F,Cougar,Northeast,Female,,,,,,,,,,,,,,,,,,,,,,,,,,2
6,MVC209M,Cougar,Okanogan,Male,,1,,,,2,,,,,,,,,,2,,,,,,,,,,
7,MVC221M,Cougar,Okanogan,Male,,,,,,2,,,,,,,,,,1,,,,,,,,,,
10,MVC224M,Cougar,Okanogan,Male,,,,,,,,,,,,,,,1,,,,,,,,,,,1
14,MVC229M,Cougar,Okanogan,Male,,,,,,1,,,,,,,,,,4,,,,,,,,,,
17,MVC234M,Cougar,Okanogan,Male,,,,,,2,,,,1,,,,,,1,,1,,,,,,1,,2
18,MVC235M,Cougar,Okanogan,Male,,,,,2,,,,,,,,,,,6,,,,,,,,,,
20,MVC237M,Cougar,Okanogan,Male,,,,,,1,,,,,,,,,,4,,,,,,,,,1,
21,NEC101M,Cougar,Northeast,Male,,,,,,4,,,,,,,,,,,1,,,1,1,,,,,12
24,NEC106M,Cougar,Northeast,Male,,,,,,,,,,,,,,,,,,,,,,,,,,2
33,NEC118M,Cougar,Northeast,Male,,,,,,1,,,1,,,,,,,,,,,,,,,,,1
34,NEC122M,Cougar,Northeast,Male,,,,,,,,,1,,,,,,,,,,,,,,,,,
